Site Number,Street Description,Lat,Long,Lat Adjusted,Long Adjusted,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
530967,19 Street North of  36 Avenue,53.4711552,-113.3716473,53.4711552,-113.3716473,900,900,700,800,800,800,800,800,900,800,900,1000
202708,20 Avenue SW West of 125 Street SW,53.4139305,-113.5394337,53.4139305,-113.5394337,-,800,800,800,800,800,800,800,900,800,900,1000
202720,20 Avenue SW West of 126 Street SW,53.413909,-113.5404859,53.413909,-113.5404859,-,-,-,1500,1500,1400,1800,1700,1800,1600,1800,1900
202684,20 Avenue SW West of Rutherford Road SW,53.4143271,-113.5355756,53.4143271,-113.5355756,-,600,600,600,600,600,600,600,700,600,700,800
211966,20 Avenue West of 104 Street,53.4509481,-113.4964191,53.4509481,-113.4964191,-,200,200,200,200,200,200,200,300,300,400,500
509480,20 Avenue West of Mill Woods Road East,53.452046,-113.4111904,53.452046,-113.4111904,1300,1200,1300,1300,1300,1200,1200,1100,1200,1100,1200,1300
212272,21 Avenue West of 104 Street,53.4525869,-113.4987214,53.4525869,-113.4987214,-,900,900,900,900,900,900,900,1000,900,1000,1100
509840,21 Avenue West of Parsons Road,53.4514141,-113.4814005,53.4514141,-113.4814005,6500,6400,6600,6800,6800,6500,6500,6600,6800,5800,6300,6600
531123,21 Street North of  38 Avenue,53.4779155,-113.375928,53.4779155,-113.375928,3000,3000,3100,3100,3100,2900,2900,2800,2900,2500,2700,2900
510176,23 Avenue West of  17 Street,53.4540275,-113.371989,53.4540275,-113.371989,-,-,9700,10800,13000,12400,12400,14600,15100,12900,13900,14500
510192,23 Avenue West of  24 Street,53.4541506,-113.3817646,53.4541506,-113.3817646,-,-,-,-,15800,13000,13000,17000,17600,15000,16100,16800
510200,23 Avenue West of  32 Street,53.453933,-113.389839,53.453933,-113.389839,11700,11500,11700,13900,12600,14500,14500,17200,17800,15200,16300,17000
510208,23 Avenue West of  34 Street,53.453836,-113.396422,53.453836,-113.396422,15700,16700,16600,14900,14900,17200,17200,18200,18800,16000,17200,17900
510216,23 Avenue West of  38 Street,53.4542256,-113.4008302,53.4542256,-113.4008302,16900,18100,18600,19100,19100,18500,18500,18700,19300,16500,17700,18500
510232,23 Avenue West of  47 Street,53.4551199,-113.4165864,53.4551199,-113.4165864,21500,21200,25500,26200,24800,25700,24400,24000,24800,21100,22600,23600
510240,23 Avenue West of  50 Street,53.4544612,-113.4226838,53.4544612,-113.4226838,22100,24000,24700,25400,25200,27500,25400,24100,24900,21200,22700,23700
510254,23 Avenue West of  57 Street,53.4537062,-113.4285923,53.4537062,-113.4285923,21400,23900,24100,24800,24800,23600,23600,22400,23100,19700,21100,22000
510264,23 Avenue West of  66 Street,53.4536205,-113.4385388,53.4536205,-113.4385388,22600,22200,22600,22700,22700,21600,21800,20700,21400,18200,19500,20300
510272,23 Avenue West of  72 Street,53.4534063,-113.4455355,53.4534063,-113.4455355,22200,24700,24600,25300,21800,20700,20700,19700,20300,17300,18600,19400
510288,23 Avenue West of  85 Street,53.4518853,-113.4629644,53.4518853,-113.4629644,29400,31900,31600,32600,24300,27700,27100,31300,32300,27500,29500,30700
510296,23 Avenue West of  91 Street,53.451859,-113.469875,53.451859,-113.469875,29600,31800,31100,28600,27100,31100,29400,31300,32300,27500,29500,30700
510304,23 Avenue West of  94 Street,53.4524423,-113.4763283,53.4524423,-113.4763283,-,-,-,-,29600,28100,30200,31500,32500,27700,29700,30900
510328,23 Avenue West of  99 Street,53.453915,-113.488586,53.453915,-113.488586,29900,29500,31100,33100,33100,34900,35600,33800,34900,29700,31800,33100
213364,23 Avenue West of 105 Street,53.4539043,-113.5052775,53.4539043,-113.5052775,-,-,-,34700,31300,29700,31200,29600,30500,26000,27900,29100
213376,23 Avenue West of 109 Street,53.4539097,-113.5118785,53.4539097,-113.5118785,27700,29900,28400,29200,29200,27700,31100,29500,30400,25900,27800,29000
213388,23 Avenue West of 110 Street,53.4539097,-113.5144325,53.4539097,-113.5144325,19900,19600,20000,20600,31600,30000,30000,28500,29400,25000,26800,27900
213400,23 Avenue West of 111 Street,53.4539097,-113.5196306,53.4539097,-113.5196306,27400,27600,26400,26900,29100,27300,30000,27800,28700,24400,26200,27300
213424,23 Avenue West of 118 Street,53.453915,-113.5321312,53.453915,-113.5321312,26600,26500,25800,26500,26600,25300,25300,24800,25600,21800,23400,24400
213436,23 Avenue West of 119 Street,53.4546594,-113.5385164,53.4546594,-113.5385164,28200,27800,27600,28400,29500,28000,28000,27200,28100,23900,25600,26700
213556,23 Avenue West of 184 Street,53.4540382,-113.6634951,53.4540382,-113.6634951,200,200,3500,3600,3600,3400,3400,3200,3300,2900,3200,3400
213592,23 Avenue West of 199 Street,53.4541453,-113.6660762,53.4541453,-113.6660762,4400,4400,6700,6000,6000,5700,5700,5400,5600,4800,5200,5500
213628,23 Avenue West of 215 Street,53.4540864,-113.6898182,53.4540864,-113.6898182,5200,5200,5300,7000,7000,7900,7900,7500,7800,6700,7200,7500
213354,23 Avenue West of Calgary Trail,53.4539364,-113.4985685,53.4539364,-113.4985685,33600,33100,36000,37000,37100,35200,39800,37800,39000,33200,35600,37100
213448,23 Avenue West of Hodgson Way,53.4540917,-113.5636164,53.4540917,-113.5636164,24600,24200,18000,24600,25800,25800,25800,20700,21400,18200,19500,20300
213496,23 Avenue West of Ledger Road,53.4565657,-113.5858117,53.4565657,-113.5858117,21200,20600,19600,20200,20000,19900,22500,21400,22100,18800,20200,21100
213472,23 Avenue West of Leger Gate,53.4544398,-113.5766656,53.4544398,-113.5766656,20000,19700,17000,17500,17500,17100,16900,15400,15900,13600,14600,15200
510136,23 Avenue West of Meridian Street,53.4539632,-113.3604327,53.4539632,-113.3604327,500,500,500,600,800,800,800,2000,2100,1800,2000,2100
510280,23 Avenue West of Mill Woods Road,53.4523352,-113.4563993,53.4523352,-113.4563993,24300,26100,25500,26200,23200,22000,22000,25300,26100,22200,23800,24800
510224,23 Avenue West of Millwoods Road East,53.4553877,-113.4115052,53.4553877,-113.4115052,21800,23300,23600,24300,24400,22800,22800,22500,23200,19800,21200,22100
510312,23 Avenue West of Parsons Road,53.4534652,-113.4812566,53.4534652,-113.4812566,-,-,-,-,31900,30300,32100,30500,31500,26800,28700,29900
213460,23 Avenue West of Rabbit HIll Road,53.454099,-113.570446,53.454099,-113.570446,16500,16200,16000,17900,18200,17600,16900,15200,15700,13400,14400,15000
213508,23 Avenue West of Terwillegar Drive NB,53.4576099,-113.5891662,53.457461,-113.5888249,-,-,-,-,15500,16000,17900,17000,17600,15000,16100,16800
531283,23 Street North of  35A Avenue,53.4706788,-113.3768363,53.4706788,-113.3768363,500,400,500,500,500,500,500,500,600,600,700,800
531307,23 Street North of Wiseman Lane,53.4764758,-113.3780594,53.4764758,-113.3780594,5700,5600,5700,5900,5900,5600,5600,4600,4800,4100,4400,4600
531327,24 Street North of  23 Avenue,53.4549753,-113.3778706,53.4549753,-113.3778706,5800,5700,7200,7400,7400,5400,5400,5100,5300,4600,5000,5200
214102,25 Avenue West of 106A Street,53.4564212,-113.5041533,53.4564212,-113.5041533,-,-,1300,1400,1400,1300,1300,1200,1300,1200,1300,1400
214114,25 Avenue West of 107 Street,53.4562498,-113.5059789,53.4562498,-113.5059789,-,-,1300,1300,1400,1300,1300,1200,1300,1200,1300,1400
214144,25 Avenue West of 112 Street,53.4577384,-113.5221577,53.4577384,-113.5221577,1400,1200,1200,1200,1200,1100,1100,1000,1100,1000,1100,1200
214204,25 Avenue West of 117 Street,53.4566193,-113.532347,53.4566193,-113.532347,800,800,800,800,800,800,800,800,900,800,900,1000
214216,25 Avenue West of 118 Street,53.4563837,-113.5341906,53.4563837,-113.5341906,-,-,-,1400,1400,1300,1300,1200,1300,1200,1300,1400
432309,25 Street North of 145 Avenue,53.6088888,-113.378626,53.6088888,-113.378626,100,100,100,100,100,100,100,100,200,200,300,400
510872,26 Avenuue West of  40 Street,53.4565818,-113.4036811,53.4565818,-113.4036811,-,-,1900,2000,2000,1900,1900,1800,1900,1700,1900,2000
432425,26 Street North of Fort Road,53.6265087,-113.3814678,53.6265087,-113.3814678,2700,2600,2700,2700,2700,2600,2600,2500,2600,2300,2500,2600
511128,27 Avenue West of  79 Street,53.4576099,-113.4553651,53.4576099,-113.4553651,-,400,400,500,500,500,500,500,600,600,700,800
511354,28 Avenue East of  66 Street,53.4583756,-113.4326123,53.4583756,-113.4326123,-,-,-,11900,11900,11300,11300,10700,11100,9500,10200,10700
501132,28 Avenue SW West of  17 Street SW,53.4080606,-113.3767284,53.4080606,-113.3767284,300,300,300,300,300,100,100,100,200,200,300,400
511200,28 Avenue West of  16 Street,53.4594519,-113.3672586,53.4594519,-113.3672586,-,-,-,-,2100,2000,2000,2900,3000,2600,2800,3000
511208,28 Avenue West of  17 Street,53.4594519,-113.3707569,53.4594041,-113.3683266,-,-,-,-,2600,2500,2500,2900,3000,2600,2800,3000
511320,28 Avenue West of  48 Street,53.4593288,-113.4186548,53.4593288,-113.4186548,4500,4400,4500,4600,4600,6200,6200,5900,6100,5200,5600,5900
511328,28 Avenue West of  50 Street,53.459393,-113.4235831,53.459393,-113.4235831,9300,9100,9300,9600,9600,10900,10900,10400,10800,9200,9900,10300
511360,28 Avenue West of  66 Street,53.4584131,-113.4358318,53.4584131,-113.4358318,10800,10700,10900,11600,11700,10800,10800,10300,10700,9100,9800,10200
511408,28 Avenue West of Lakewood Road West,53.4587558,-113.4620471,53.4587558,-113.4620471,8000,7800,8000,10600,10100,9600,10400,9900,10200,8700,9400,9800
511344,28 Avenue West of Youville Drive West,53.4584988,-113.430328,53.4584988,-113.430328,9900,9800,10700,12800,10100,9600,9600,9100,9400,8000,8600,9000
511460,28A Avenue West of  33 Street,53.4591842,-113.3920798,53.4591842,-113.3920798,2500,2400,2500,2600,2600,2500,2500,2400,2500,2200,2400,2500
216058,29A Avenue West of 109 Street,53.4611707,-113.5146034,53.4611707,-113.5146034,-,-,-,4800,4800,5000,5000,4800,5000,4300,4700,4900
201892,30 Avenue SW West of Cole Crescent SW,53.40422,-113.535934,53.40422,-113.535934,-,-,-,4900,4900,4100,4100,3900,4100,3500,3800,4000
201904,30 Avenue SW West of James Mowatt Trail SW,53.405137,-113.538017,53.405137,-113.538017,-,-,-,1500,1500,2000,2000,1900,2000,1700,1900,2000
531883,30 Street north of  38 Avenue,53.4742759,-113.3856407,53.4742759,-113.3856407,3800,3700,3800,3900,3900,3700,3700,3500,3700,3200,3500,3700
531899,30 Street North of  43 Avenue,53.4807306,-113.3872775,53.4807306,-113.3872775,2100,2000,2100,2100,2100,3800,3800,3600,3800,3300,3600,3800
511988,31 Avenue West of  50 Street,53.4620595,-113.4221891,53.4620595,-113.4221891,2100,2100,2100,2100,2200,2100,2100,2000,2100,1800,2000,2100
512012,31 Avenue West of  66 Street,53.4620541,-113.4353462,53.4620541,-113.4353462,3500,3500,3500,3600,3600,3400,3400,3200,3300,2900,3200,3400
512028,31 Avenue West of  67A Street,53.4617329,-113.4384579,53.4617329,-113.4384579,1400,1400,1400,1400,1400,1300,1300,1200,1300,1200,1300,1400
512144,31 Avenue West of  91 Street,53.462702,-113.4690888,53.462702,-113.4690888,500,500,500,500,500,500,500,500,600,600,700,800
512164,31 Avenue West of  97 Street,53.462718,-113.4828574,53.462718,-113.4828574,2300,2300,2300,2400,2800,2700,2700,2600,2700,2300,2500,2600
216592,31 Avenue West of 105A Street,53.4634622,-113.5021208,53.4634622,-113.5021208,1800,1800,900,900,900,900,900,900,1000,900,1000,1100
